date,rank,sin,normalized_name,entity_type,source_candidate_name,identity_note
07-18,2,UO-SIN-000217,Elizabeth Ferard,person,Elizabeth Ferard,
07-18,3,UO-SIN-000218,Elizabeth of Russia,person,Elizabeth of Russia,
07-18,4,UO-SIN-000219,Camillus de Lellis,person,Camillus de Lellis,
07-19,2,UO-SIN-000220,Adelaide Teague Case,person,Adelaide Teague Case,
07-19,3,UO-SIN-000221,Arsenius,person,Arsenius,
07-20,2,UO-SIN-000222,Margaret / Marina of Antioch,person,Margaret / Marina of Antioch,also appears in 11-24 group
07-20,3,UO-SIN-000223,"Elizabeth Cady Stanton, Amelia Bloomer, and Sojourner Truth",group,"Elizabeth Cady Stanton, Amelia Bloomer, and Sojourner Truth",current LFF group form
07-20,4,UO-SIN-000224,"Elizabeth Cady Stanton, Amelia Bloomer, Sojourner Truth, and Harriet Ross Tubman",group,"Elizabeth Cady Stanton, Amelia Bloomer, Sojourner Truth, and Harriet Ross Tubman",older TEC group form
07-21,2,UO-SIN-000225,Albert Luthuli,person,Albert Luthuli,
07-21,3,UO-SIN-000030,William Wilberforce,person,William Wilberforce,also rank1 07-30
07-21,4,UO-SIN-000226,Laurence of Brindisi,person,Laurence of Brindisi,
07-22,2,UO-SIN-000227,Wandrille,person,Wandrille,
07-23,2,UO-SIN-000228,Bridget of Sweden,person,Bridget of Sweden,
07-23,3,UO-SIN-000229,Declan of Ardmore,person,Declan of Ardmore,also appears 07-24
07-24,2,UO-SIN-000229,Declan of Ardmore,person,Declan of Ardmore,also appears 07-23
07-24,3,UO-SIN-000230,Boris and Gleb,group,Boris and Gleb,group source form
07-24,4,UO-SIN-000231,Sharbel Makhluf,person,Sharbel Makhluf,
07-26,2,UO-SIN-000232,Charles Raymond Barnes,person,Charles Raymond Barnes,
07-27,2,UO-SIN-000233,John Comper,person,John Comper,
07-27,3,UO-SIN-000234,Brooke Foss Westcott,person,Brooke Foss Westcott,
07-27,4,UO-SIN-000235,Pantaleon,person,Pantaleon,
07-28,2,UO-SIN-000236,"Johann Sebastian Bach, George Frideric Handel, and Henry Purcell",group,"Johann Sebastian Bach, George Frideric Handel, and Henry Purcell",group source form
07-28,3,UO-SIN-000237,Samson of Dol,person,Samson of Dol,
07-28,4,UO-SIN-000238,Victor I,person,Victor I,
07-29,2,UO-SIN-000239,Philadelphia Eleven / First Ordination of Women to the Priesthood in TEC,event,Philadelphia Eleven / First Ordination of Women to the Priesthood in TEC,ecclesial event
07-29,3,UO-SIN-000030,William Wilberforce,person,William Wilberforce,also rank1 07-30
07-29,4,UO-SIN-000240,Lupus of Troyes,person,Lupus of Troyes,
07-30,2,UO-SIN-000205,Silas / Silvanus,person,Silas,also appears 07-13
07-30,3,UO-SIN-000241,Peter Chrysologus,person,Peter Chrysologus,
07-31,2,UO-SIN-000242,Germanus of Auxerre,person,Germanus of Auxerre,
