"month","date","rank","candidate","designation","year_or_period","tradition","source_witnesses","source_tier","preliminary_status","ranking_rationale","review_flags","decision_status","final_primary","notes"
"June","06-05","1","Boniface of Mainz","Bishop, Missionary, and Martyr","754","Anglican / English missionary to Germany","BCP; LFF; HWHM; GCW; FAS; SEC; AM","BCP / Current TEC / Broad Anglican","Strong candidate with review","Broad Anglican reception; English missionary bishop and martyr with deep western church-forming significance.","Anglican bishop rule; mission context review","Pending","",""
"June","06-05","2","Dorotheus of Tyre","Bishop and martyr","362","Greater Church / Eastern","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Episcopal/martyrial tradition with source complexity.","source verification; Greater Church remembers","Pending","",""
"June","06-05","3","Sancho of Cordoba","Martyr","851","Greater Church / Spanish","AM","Anglican martyrology / Great Church","Usable","Martyrial witness; interreligious context requires care.","Greater Church remembers; interreligious context","Pending","",""
"June","06-06","1","Ini Kopuria","Founder of the Melanesian Brotherhood","1945","Anglican / Melanesian","AM; Anglican Communion witness","Anglican martyrology / Anglican Communion witness","Strong candidate with review","Anglican religious-community founder and evangelistic witness; strongest Anglican-family candidate on a blank current-LFF day.","modern review; source verification; religious-founder framing","Pending","",""
"June","06-06","2","Norbert of Xanten","Bishop and religious founder","1134","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Premonstratensian founder and reforming bishop; strong Great Church alternate.","Greater Church remembers","Pending","",""
"June","06-06","3","Philip the Deacon","Biblical deacon and evangelist","1st century","Biblical / Anglican-received","AM; Acts source context","TEC secondary / Anglican martyrology","Review","Biblical diaconal witness but requires whole-year biblical strategy.","biblical strategy","Pending","",""
"June","06-07","1","Willibald of Eichstatt","Bishop and Missionary","786","Anglican / English missionary to Germany","AM; Oxford Dictionary of Saints","Anglican martyrology / English missionary witness","Strong candidate with review","English pilgrim, monk, missionary, and bishop; strong Anglican-family candidate on a blank current-LFF day.","Anglican bishop rule; source verification","Pending","",""
"June","06-07","2","Robert of Newminster","Abbot","1159","Anglican / English","AM; Oxford Dictionary of Saints","TEC secondary / Anglican martyrology","Strong alternate","Cistercian abbot and pastoral monastic witness; strong Anglican-family alternate.","source verification","Pending","",""
"June","06-07","3","Paul I of Constantinople","Bishop and martyr","350","Greater Church / Eastern","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Episcopal witness in Arian conflict; lower source priority.","Greater Church remembers","Pending","",""
"June","06-08","1","Melania the Elder","Monastic","410","Anglican-received Great Church","LFF; AM; Oxford Dictionary of Saints","Current TEC/LFF / Great Church","Strong candidate","Current LFF monastic witness; scriptural study, ascetical renunciation, hospitality, and desert spirituality.","Greater Church remembers; monastic-family source clarity","Pending","",""
"June","06-08","2","William of York","Archbishop","1154","Anglican / English","AM; Oxford Dictionary of Saints","TEC secondary / Anglican martyrology","Strong alternate","English archbishop; political conflict material requires care.","Anglican bishop rule; source verification","Pending","",""
"June","06-08","3","Medard of Noyon","Bishop","560","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Pastoral bishop; lower priority.","Greater Church remembers","Pending","",""
"June","06-09","1","Columba of Iona","Monastic","597","Anglican / Irish-Scottish","BCP; LFF; HWHM; GCW; FAS; SEC; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Broad Anglican reception; missionary, monastic, and Iona witness central to Celtic and Scottish Christianity.","none","Pending","",""
"June","06-09","2","Columba source variants","Abbot of Iona","597","Anglican / Irish-Scottish","SEC/AM variants","TEC secondary / Anglican martyrology","Review / source-form harmonization","Variant source forms for the same identity; do not split identity.","source-form harmonization","Pending","",""
"June","06-09","3","Ephrem source-date preparation","Deacon and poet","373","Syriac / Great Church","source-date context","TEC secondary / Anglican martyrology","Review","June 10 BCP/LFF date controls Ephrem.","date harmonization","Pending","",""
"June","06-10","1","Ephrem of Nisibis","Deacon and Poet","373","Anglican-received Great Church / Syriac","BCP; LFF; HWHM; GCW; FAS; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Broad Anglican reception; deacon, hymnographer, poet-theologian, and Syriac witness of prayer and doctrine.","Greater Church remembers; poet/theologian framing","Pending","",""
"June","06-10","2","Margaret of Scotland source/date variant","Queen","1093","Anglican / Scottish","AM/Oxford date context; November matrix","TEC secondary / Anglican martyrology","Review / date harmonization","Date variant; November source forms likely control.","date harmonization","Pending","",""
"June","06-10","3","Maurinus of Cologne","Abbot","899","Greater Church / Western","AM","Anglican martyrology / Great Church","Weak / defer","Sparse source witness.","source verification","Pending","",""
"June","06-11","1","Barnabas the Apostle","Apostle","1st century","Apostolic / Anglican-received","BCP; LFF; HWHM; FAS; SEC; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Uncontested apostolic feast with Prayer Book/LFF authority.","none","Pending","",""
"June","06-11","2","Paula Frassinetti","Religious founder","1882","Roman Catholic / Greater Church","AM","Anglican martyrology / Great Church","Usable","Religious-founder witness but cannot displace apostolic feast.","Greater Church remembers","Pending","",""
"June","06-11","3","Herebald / Rembert source traditions","Missionary bishops","9th century","Greater Church / Western","AM","Anglican martyrology / Great Church","Weak / defer","Lower source clarity.","source verification","Pending","",""
"June","06-12","1","Enmegahbowh","Priest and Missionary","1902","Anglican / Ojibwe","BCP; LFF; HWHM; GCW; AM","BCP / Current TEC / TEC secondary","Strong candidate with review","Prayer Book/LFF Anglican priest and missionary; Indigenous and mission context must be handled with care.","mission/Indigenous context review; priestly holiness framing","Pending","",""
"June","06-12","2","Onuphrius","Hermit","4th-5th century","Greater Church / Egyptian","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Desert eremitical witness with legendary material; strong Great Church alternate.","legendary material review; Greater Church remembers","Pending","",""
"June","06-12","3","Eskil of Strängnäs","Bishop and martyr","1080","Greater Church / Swedish","AM","Anglican martyrology / Great Church","Usable","Missionary bishop and martyr; lower source priority.","Greater Church remembers","Pending","",""
"June","06-13","1","The First Book of Common Prayer","Liturgical observance","1549","Anglican","BCP; LFF; HWHM; GCW; FAS","BCP / Current TEC / Broad Anglican","Strong candidate with review","Current LFF/Prayer Book observance, but not a personal saint; should remain event/liturgical-apparatus unless governed as a feast entry.","non-person observance; person-event distinction; Reformation context; entity-type control","Pending","",""
"June","06-13","2","Anthony of Padua","Priest and teacher","1231","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Franciscan preacher and teacher; strong Great Church alternate if observance genre is deferred.","Greater Church remembers","Pending","",""
"June","06-13","3","Aventinus of Larboust","Hermit","8th century","Greater Church / Western","AM","Anglican martyrology / Great Church","Usable","Eremitical witness; lower source priority.","Greater Church remembers","Pending","",""
"June","06-14","1","Basil of Caesarea","Bishop and Theologian","379","Anglican-received Great Church","BCP; LFF; HWHM; GCW; FAS; AM; January paired date variant; May Gregory counterpart","BCP / Current TEC / Broad Anglican","Strong candidate","Current LFF/BCP individual Basil date; Cappadocian bishop, theologian, monastic legislator, and witness to theosis.","date/source-form harmonization with January 2 Basil-Gregory pair and May 9 Gregory of Nazianzus","Pending","",""
"June","06-14","2","Elisha","Prophet","","Biblical / Old Testament","AM","TEC secondary / Anglican martyrology","Review","Biblical prophet requires whole-year Old Testament strategy.","Old Testament strategy","Pending","",""
"June","06-14","3","Methodius I of Constantinople","Bishop","847","Greater Church / Eastern","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Confessor in iconoclast conflict; strong Great Church alternate.","Greater Church remembers","Pending","",""
"June","06-15","1","Evelyn Underhill","Mystic and Writer","1941","Anglican","BCP; LFF; HWHM; GCW; FAS; AM","BCP / Current TEC / Broad Anglican","Strong candidate with review","Broad Anglican reception; spiritual writer, retreat conductor, and mystic whose work can serve prayer and discipleship.","writer/mystic framing; modern review","Pending","",""
"June","06-15","2","Vitus","Martyr","303","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Ancient martyrial tradition with legendary material.","legendary material review; Greater Church remembers","Pending","",""
"June","06-15","3","Lotharius of Séez","Bishop","756","Greater Church / Western","AM","Anglican martyrology / Great Church","Usable","Episcopal witness; lower source priority.","Greater Church remembers","Pending","",""
"June","06-16","1","Joseph Butler","Bishop and Theologian","1752","Anglican","LFF; HWHM; GCW; AM","Current TEC/LFF / TEC secondary / Anglican martyrology","Strong candidate","Current LFF Anglican bishop and theologian; bishop rule supports inclusion while intellectual framing remains necessary.","Anglican bishop rule; intellectual framing","Pending","",""
"June","06-16","2","Richard of Chichester date variant","Bishop","1253","Anglican / English","AM/Oxford date context; April matrix","TEC secondary / Anglican martyrology","Review / date harmonization","Date variant; April 3 BCP/LFF controls.","date harmonization","Pending","",""
"June","06-16","3","Lutgardis of Aywières","Mystic","1246","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Cistercian mystic and contemplative witness; strong Great Church alternate.","Greater Church remembers","Pending","",""
"June","06-17","1","Marina the Monk","Monastic","fifth century","Anglican-received Great Church","LFF; Oxford Dictionary of Saints; July/November Marina-Margaret name context","Current TEC/LFF / Great Church","Strong candidate with review","Current LFF monastic witness; gender-disguise and legendary material require honest handling while preserving ascetical holiness.","legendary material review; Greater Church remembers; name-distinction review with Margaret/Marina of Antioch","Pending","",""
"June","06-17","2","Botolph of Iken","Abbot","680","Anglican / English","AM; Oxford Dictionary of Saints","TEC secondary / Anglican martyrology","Strong alternate","English monastic founder; strong Anglican-family alternate.","source verification","Pending","",""
"June","06-17","3","Adulf of Utrecht","Bishop","680","Anglican / English/Dutch","AM","TEC secondary / Anglican martyrology","Usable","Episcopal witness; source verification.","source verification","Pending","",""
"June","06-18","1","Bernard Mizeki","Martyr","1896","Anglican / Central African","LFF; HWHM; GCW; AM","Current TEC/LFF / TEC secondary / Anglican martyrology","Strong candidate with review","Current LFF Anglican catechist, translator, evangelist, and martyr in Zimbabwe.","mission/colonial context review; martyrial witness","Pending","",""
"June","06-18","2","Ephrem of Nisibis source/date variant","Deacon and poet","373","Syriac / Great Church","AM/Oxford date variant; June 10 matrix","TEC secondary / Anglican martyrology","Review / date harmonization","Date variant; June 10 BCP/LFF controls.","date harmonization","Pending","",""
"June","06-18","3","Elizabeth of Schönau","Mystic","1164","Greater Church / Western","AM","Anglican martyrology / Great Church","Review","Visionary/mystical material requires care.","visionary material; Greater Church remembers","Pending","",""
"June","06-19","1","Adelaide Teague Case","Educator","1948","Anglican","LFF; HWHM; GCW","Current TEC/LFF / TEC secondary","Strong candidate with review","Current LFF educator and Episcopal theological formation witness; should be framed through prayer, eucharistic practice, and discipleship rather than educational influence alone.","educator/public-intellectual framing; modern review","Pending","",""
"June","06-19","2","Romuald","Abbot and founder","1027","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Camaldolese founder and eremitical witness; strong Great Church alternate.","Greater Church remembers","Pending","",""
"June","06-19","3","Gervase and Protase","Martyrs","2nd century","Greater Church / Milan","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Ancient martyrial group; lower source priority.","group entry; Greater Church remembers","Pending","",""
"June","06-20","1","Fillan","Abbot","c. 750","Anglican / Scottish-Irish","SEC; AM; Alban date variant context","Provincial Anglican / Anglican martyrology","Strong candidate with review","Scottish/Irish abbot and monastic witness; avoids displacing Alban from his current LFF/BCP June 22 date.","source verification; date harmonization with Alban June 20 AM variant and June 22 LFF/BCP date","Pending","",""
"June","06-20","2","Alban date variant","Martyr","c. 304","Anglican / British","AM date variant; June 22 matrix","TEC secondary / Anglican martyrology","Review / date harmonization","June 22 BCP/LFF date controls Alban.","date harmonization","Pending","",""
"June","06-20","3","Silverius","Bishop of Rome","537","Greater Church / Roman","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Papal/confessor witness; papal context.","papal context","Pending","",""
"June","06-21","1","Aloysius Gonzaga","Religious and worker of mercy","1591","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church reference","Strong candidate with review","Young Jesuit religious who died ministering during plague; strong works-of-mercy and vowed-life witness on a blank current-LFF day.","Greater Church remembers; ascetical-extremity caution; source verification","Pending","",""
"June","06-21","2","Ralph of Bourges","Bishop","866","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Episcopal witness; strong Great Church alternate.","Greater Church remembers","Pending","",""
"June","06-21","3","Leutfridus of Évreux","Abbot","738","Greater Church / Western","AM","Anglican martyrology / Great Church","Usable","Monastic witness; lower source priority.","Greater Church remembers","Pending","",""
"June","06-22","1","Alban","Martyr","c. 304","Anglican / British","BCP; LFF; HWHM; GCW; FAS; SEC; AM; June 20 AM variant","BCP / Current TEC / Broad Anglican","Strong candidate","First British martyr with Prayer Book/LFF and broad Anglican reception.","date harmonization with June 20 AM variant","Pending","",""
"June","06-22","2","Paulinus of Nola","Bishop and poet","431","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Episcopal, poetic, and ascetical witness; strong but cannot displace Alban.","Greater Church remembers","Pending","",""
"June","06-22","3","John Fisher and Thomas More","Martyrs","1535","Roman Catholic / English","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review","Reformation-conflict martyrial witnesses requiring careful Anglican handling.","Reformation conflict","Pending","",""
"June","06-23","1","Etheldreda / Audrey of Ely","Abbess","679","Anglican / English","AM; Oxford Dictionary of Saints; Moluag date context","Anglican martyrology / English monastic witness","Strong candidate with review","English royal abbess and founder of Ely; strongest Anglican-family candidate on a blank current-LFF day.","source verification; ruler-family/legendary material review; Moluag date harmonization note","Pending","",""
"June","06-23","2","Moluag date variant","Bishop","592","Anglican / Scottish-Irish","AM date variant; June 25 matrix","TEC secondary / Anglican martyrology","Review / date harmonization","June 25 SEC/AM witness likely controls Moluag if retained.","date harmonization","Pending","",""
"June","06-23","3","Joseph Cafasso","Priest","1860","Roman Catholic / Greater Church","AM","Anglican martyrology / Great Church","Usable","Priestly and prison ministry witness; lower source priority.","Greater Church remembers","Pending","",""
"June","06-24","1","The Nativity of Saint John the Baptist","Feast of a biblical saint","1st century","Biblical / Anglican-received Great Church","BCP; LFF; HWHM; FAS; SEC; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Major Prayer Book/LFF feast of John the Baptist's birth and vocation to prepare the way of Christ.","none","Pending","",""
"June","06-24","2","Bartholomew of Farne","Hermit","1193","Anglican / English","AM; Oxford Dictionary of Saints","TEC secondary / Anglican martyrology","Usable","English eremitical witness; cannot displace major feast.","defer under major feast","Pending","",""
"June","06-24","3","The Seven Sleepers of Ephesus","Legendary group","?","Greater Church / Eastern","AM/Oxford context","Anglican martyrology / Great Church","Weak / defer","Legendary group tradition; not competitive against major feast.","legendary material review","Pending","",""
"June","06-25","1","Moluag of Lismore","Bishop","592","Anglican / Scottish-Irish","SEC; AM; June 23 AM variant","Provincial Anglican / Anglican martyrology","Strong candidate with review","Scottish-Irish missionary bishop and founder on Lismore; strong Anglican-family candidate on a blank current-LFF day.","Anglican bishop rule; date harmonization with June 23 AM variant; source verification","Pending","",""
"June","06-25","2","Prosper of Aquitaine","Theologian","c. 455","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Theological witness associated with Augustine; lower source priority.","Greater Church remembers; intellectual framing","Pending","",""
"June","06-25","3","Adalbert of Egmond","Deacon","740","Greater Church / Western","AM","Anglican martyrology / Great Church","Usable","Missionary/deacon witness; lower source priority.","Greater Church remembers","Pending","",""
"June","06-26","1","Isabel Florence Hapgood","Ecumenist","1928","Anglican-received / Orthodox-Anglican bridge","LFF; AM","Current TEC/LFF / Anglican martyrology","Strong candidate with review","Current LFF ecumenical and liturgical-translation witness; must be framed through service to prayer and church unity rather than cultural achievement.","ecumenist/intellectual framing; modern review","Pending","",""
"June","06-26","2","Robert Leighton","Bishop","1684","Anglican / Scottish","SEC; AM","TEC secondary / Anglican martyrology","Strong alternate","Scottish bishop and spiritual writer; strong Anglican bishop alternate.","Anglican bishop rule","Pending","",""
"June","06-26","3","Josemaría Escrivá","Priest","1975","Roman Catholic / Greater Church","AM","Anglican martyrology / Great Church","Review","Modern founder and contested movement context require review.","modern/founder review; Greater Church remembers","Pending","",""
"June","06-27","1","Alexander Jolly","Bishop of Moray","1838","Anglican / Scottish Episcopal","SEC; AM","Provincial Anglican / Anglican martyrology","Strong candidate with review","Scottish Episcopal bishop known for learning, devotion, and guidance of the church after penal-law repeal; Anglican bishop rule supports inclusion.","Anglican bishop rule; source verification","Pending","",""
"June","06-27","2","Cyril of Alexandria","Bishop and Theologian","444","Oriental/Eastern/Roman Great Church","AM; Oxford Dictionary of Saints","TEC secondary / Anglican martyrology","Strong alternate","Major Christological theologian; controversy and Alexandrian politics require honest handling.","Greater Church remembers; theological/political context","Pending","",""
"June","06-27","3","Emma of Gurk","Countess and foundress","1045","Greater Church / Western","AM","Anglican martyrology / Great Church","Usable","Lay charity/foundress witness; lower source priority.","Greater Church remembers","Pending","",""
"June","06-28","1","Irenaeus of Lyons","Bishop and Theologian","c. 202","Anglican-received Great Church","BCP; LFF; HWHM; GCW; FAS; AM; SEC transfer witness","BCP / Current TEC / Broad Anglican","Strong candidate","Broad Anglican reception; early bishop and theologian of apostolic tradition, creation, incarnation, and recapitulation.","Greater Church remembers; date harmonization with SEC June 30 transfer","Pending","",""
"June","06-28","2","Irenaeus SEC transfer row","Bishop and Theologian","c. 202","Anglican-received Great Church","SEC transfer to June 30","TEC secondary / Anglican martyrology","Review / date harmonization","Transfer row only; fixed BCP/LFF date remains June 28.","SEC transfer artifact","Pending","",""
"June","06-28","3","Leo II","Bishop of Rome","683","Greater Church / Roman","AM","Anglican martyrology / Great Church","Usable","Papal and conciliar witness; lower source priority.","papal context","Pending","",""
"June","06-29","1","The Apostles Saint Peter and Saint Paul","Apostles and Martyrs","1st century","Apostolic / Anglican-received","BCP; LFF; HWHM; FAS; SEC; AM; January Peter and Paul individual feasts","BCP / Current TEC / Broad Anglican","Strong candidate","Major apostolic feast with Prayer Book/LFF authority; joint martyrial witness in Rome.","date/source-form harmonization with Jan 18 Confession of Peter and Jan 25 Conversion of Paul","Pending","",""
"June","06-29","2","Saint Peter the Apostle individual source form","Apostle and martyr","1st century","Apostolic / Anglican-received","SEC/AM source forms","TEC secondary / Anglican martyrology","Review / source-form harmonization","Individual Peter source form remains distinct from joint Peter-and-Paul feast and Jan 18 Confession.","source-form harmonization","Pending","",""
"June","06-29","3","Saint Paul the Apostle individual source form","Apostle and martyr","1st century","Apostolic / Anglican-received","AM source forms","TEC secondary / Anglican martyrology","Review / source-form harmonization","Individual Paul source form remains distinct from joint Peter-and-Paul feast and Jan 25 Conversion.","source-form harmonization","Pending","",""
"June","06-30","1","The First Martyrs of Rome under Nero","Martyrs","64","Greater Church / Roman","AM; Oxford Dictionary of Saints; SEC Irenaeus transfer context","Anglican martyrology / Great Church reference","Strong candidate with review","Ancient martyrial group witness after Peter and Paul; strongest sanctoral fit on a blank current-LFF day.","group entry; Greater Church remembers; date context with Peter and Paul June 29 and SEC Irenaeus transfer","Pending","",""
"June","06-30","2","Raymond Lull","Missionary and writer","1316","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review","Missionary-dialogue and martyr traditions require careful source and interreligious handling.","mission/interreligious context; Greater Church remembers","Pending","",""
"June","06-30","3","Irenaeus transfer context","Bishop and theologian","c. 202","SEC transfer","SEC 2026 transfer from June 28","TEC secondary / Anglican martyrology","Review / date harmonization","Transfer context only; June 28 fixed BCP/LFF date controls Irenaeus.","SEC transfer artifact","Pending","",""
