month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
November,11-09,3,George Hay Forbes,Priest,1875,Anglican / Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,"Scottish Episcopal priest, liturgist, and patristic/liturgical scholar; strong Anglican alternate.",source verification; liturgical-scholar holiness framing,Pending,,
November,11-09,4,Dedication of Saint John Lateran,Church dedication feast,,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,"Ecclesial dedication feast, not a saint; likely secondary unless feast-days are intentionally included.",feast/genre review; Greater Church remembers,Pending,,
November,11-09,5,Radbod of Utrecht,Bishop,917,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Monastic bishop and hymn writer; lower source priority.,Greater Church remembers; source verification,Pending,,
November,11-10,1,Leo the Great,Bishop of Rome and Teacher of the Faith,461,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican and Great Church reception; major patristic episcopal and Christological witness.,none,Pending,,
November,11-10,2,Justus of Canterbury,Bishop,627,Anglican / early English Church,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Usable,Early Gregorian mission bishop and Archbishop of Canterbury; good Anglican-family alternate but outranked by Leo.,source verification,Pending,,
November,11-10,3,Kristallnacht remembrance,Historical event,1938,Non-sanctoral historical remembrance,AM,Anglican martyrology event note,Exclude from primary consideration,Essential historical memory but not a saint or ecclesial feast for Kalendar primary use.,non-sanctoral; genre mismatch; Holocaust remembrance,Pending,,
November,11-11,1,Martin of Tours,Bishop,397,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,"Broad Anglican and Great Church reception; monastic bishop, mercy to the poor, and mission to rural people.",none,Pending,,
November,11-11,2,Theodore the Studite,Abbot / confessor,826,Eastern Orthodox / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Major Byzantine monastic and iconodule witness; strong Great Church alternate.,Greater Church remembers; iconoclasm context,Pending,,
November,11-11,3,Søren Kierkegaard,Christian thinker,1855,Lutheran / Anglican-received,AM; HWHM/GCW on September 8,Anglican martyrology / TEC secondary date variant,Review,Profound Christian discipleship and imitation-of-Christ witness but intellectual significance must not dominate.,intellectual-significance caution; date harmonization with September 8; Protestant/non-Anglican review,Pending,,
November,11-11,4,Armistice Day,Historical/civic remembrance,1918,Non-sanctoral historical remembrance,AM,Anglican martyrology event note,Exclude from primary consideration,Important historical and prayer-for-peace context but not a sanctoral primary entry.,non-sanctoral; civic/historical genre mismatch,Pending,,
November,11-12,1,Charles Simeon,Priest,1836,Anglican,BCP; LFF; HWHM; GCW; FAS; AM date variant,BCP / Current TEC / Broad Anglican,Strong candidate,Prayer Book/LFF priestly and evangelical pastoral witness; strong Anglican source authority.,date harmonization with AM November 13; evangelical/revival framing,Pending,,
November,11-12,2,Machar,Bishop,c. 600,Anglican / Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,Scottish episcopal and missionary witness; good regional Anglican alternate.,source verification,Pending,,
November,11-12,3,Tysilio,Abbot,7th century,Anglican / Welsh,AM; Oxford Dictionary of Saints,Anglican martyrology / Welsh witness,Usable,Welsh monastic leader and teacher; useful Anglican-family alternate.,source verification,Pending,,
November,11-12,4,Josaphat Kuntsevych,Bishop and Martyr,1623,Eastern Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Martyrial episcopal witness but Eastern Catholic/Orthodox-union conflict requires very careful handling.,ecclesial-conflict review; Greater Church remembers,Pending,,
November,11-13,1,Frances Xavier Cabrini,Religious founder and missionary,1917,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong candidate with review,"Missionary religious founder serving immigrants through schools, orphanages, and hospitals; strong works-of-mercy candidate on a thin Anglican day.",modern review; Greater Church remembers,Pending,,
November,11-13,2,Abbo of Fleury,Abbot and peacemaker,1004,Greater Church / Western monastic,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Scholar-abbot killed on a peacemaking mission; strong monastic/peace witness.,Greater Church remembers; source verification,Pending,,
November,11-13,3,Nicholas I,Bishop of Rome,867,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,"Defender of ecclesial independence, marriage bond, and care for poor; lower priority and Roman-primacy context needs care.",Greater Church remembers; papal-claims context,Pending,,
November,11-13,4,Charles Simeon,Priest,1836,Anglican,AM; BCP/LFF on Nov 12,Anglican martyrology / BCP date elsewhere,Review / date harmonization,AM date variant for an already strong November 12 Anglican candidate.,date harmonization with November 12,Pending,,
November,11-14,1,Consecration of Samuel Seabury,Ecclesial event / first American episcopal consecration,1784,Anglican,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate with review,Foundational Anglican ecclesial event for TEC and Scottish-American eucharistic inheritance; high source authority.,ecclesial-event genre review; not an individual saint,Pending,,
November,11-14,2,Samuel Seabury,Bishop,1796,Anglican,HWHM; GCW; AM; BCP/LFF event form,TEC secondary / Anglican martyrology,Strong alternate,"As bishop rather than event, qualifies under Anglican-bishop rule; useful if event form is judged unsuitable as primary.",Anglican bishop rule; event/person source-form review,Pending,,
November,11-14,3,Dyfrig / Dubricius,Bishop,c. 532-550,Anglican / Welsh,AM; Oxford Dictionary of Saints,Anglican martyrology / Welsh witness,Strong alternate,Early Welsh bishop and monastic teacher; strong Anglican-family hagiographical option.,source verification,Pending,,
November,11-14,4,Lawrence O’Toole,Archbishop of Dublin,1180,Irish / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,"Monastic archbishop, liturgical reformer, mediator, and servant of the poor; strong Great Church/Irish option.",Greater Church remembers; source verification,Pending,,
November,11-14,5,Nicholas of Sibenik and Companions,Franciscan martyrs,1391,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Missionary martyrdom in interreligious context requires careful handling.,interreligious violence; Greater Church remembers,Pending,,
November,11-15,1,Herman of Alaska,Missionary,1837,Eastern Orthodox / Anglican-received,LFF; HWHM/GCW on August 9; AM,Current TEC/LFF / TEC secondary date variant,Strong candidate,"Current LFF; Orthodox missionary ascetic and protector of Indigenous people; strong Great Five witness.",date harmonization with August 9; mission/Indigenous context; Greater Church remembers,Pending,,
November,11-15,2,Albert the Great,Bishop and Doctor,1280,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Major scholar-bishop whose pastoral charity and holiness should anchor any intellectual framing.,intellectual-significance caution; Greater Church remembers,Pending,,
November,11-15,3,Francis Asbury and George Whitefield,Evangelists,"1816, 1770",Methodist / Anglican-received,HWHM; GCW,TEC secondary,Review,"Evangelistic witness is significant, but non-Anglican/Methodist source-form and revival history require review.",Protestant/non-Anglican review; group entry; date harmonization for Whitefield with October 30,Pending,,
November,11-15,4,Roque González and Companions,Missionaries and Martyrs,1628,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Martyrial mission witness in Paraguay; colonial/Indigenous mission context requires care.,mission/colonial context; Greater Church remembers,Pending,,
November,11-15,5,Malo,Bishop / apostle of Brittany,c. 600,Greater Church / Celtic-Breton,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Celtic/Breton missionary-bishop witness; lower source priority.,source verification; Greater Church remembers,Pending,,
November,11-16,1,Margaret of Scotland,Queen and helper of the poor,1093,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate with review,"Broad Anglican reception; prayer, almsgiving, ecclesial reform, and family holiness support the case beyond queenship.",ruler-saint review,Pending,,
November,11-16,2,Mechthilde of Hackeborn and Gertrude the Great,Mystics and Theologians,1298 and 1302,Roman Catholic / Anglican-received,LFF on Nov 21; AM on Nov 16,Current TEC date elsewhere / Anglican martyrology,Review / date harmonization,Strong monastic mystical witness but LFF places them on November 21; hold for harmonization.,date harmonization with November 21; group entry; Greater Church remembers,Pending,,
November,11-16,3,Edmund Rich of Canterbury,Archbishop of Canterbury,1240,Anglican-received Great Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,"Archbishop, teacher, and devotional writer; strong Anglican-family episcopal alternate.",date/source verification,Pending,,
November,11-16,4,Otmar of Saint Gall,Abbot,759,Greater Church / Western monastic,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Benedictine abbot and sufferer in exile; lower source priority.,Greater Church remembers,Pending,,
November,11-17,1,Hugh of Lincoln,Bishop,1200,Anglican-received Great Church,BCP; LFF; FAS; AM,BCP / Current TEC / Provincial Anglican,Strong candidate,"Prayer Book/LFF episcopal witness; pastoral reformer, defender of the oppressed, and Carthusian bishop.",Anglican bishop rule,Pending,,
November,11-17,2,Hugh of Lincoln and Robert Grosseteste,Bishops of Lincoln,1200 and 1253,Anglican / English,HWHM; GCW,TEC secondary,Strong alternate,Older TEC secondary group form links two Lincoln bishops; retain for source-form visibility.,group entry; date harmonization for Grosseteste with October 9,Pending,,
November,11-17,3,Hilda of Whitby,Abbess,680,Anglican / Northumbrian,AM; BCP/LFF on Nov 18; SEC on Nov 19,Anglican martyrology / date variant,Review / date harmonization,AM date variant for Hilda; current BCP/LFF place her on November 18.,date harmonization with November 18 and SEC November 19,Pending,,
November,11-17,4,Elizabeth of Hungary,Princess / worker of mercy,1231,Roman Catholic / Anglican-received,AM; BCP/LFF on Nov 19,Anglican martyrology / date variant,Review / date harmonization,AM date variant for Elizabeth; current BCP/LFF place her on November 19.,date harmonization with November 19; Greater Church remembers,Pending,,
November,11-18,1,Hilda of Whitby,Abbess,680,Anglican / Northumbrian,BCP; LFF; HWHM; GCW; FAS; AM date variant; SEC date variant,BCP / Current TEC / Broad Anglican,Strong candidate,"Broad Anglican reception; monastic leadership, theological education, poetry, and Synod of Whitby context.",date variants on Nov 17 and SEC Nov 19,Pending,,
November,11-18,2,Fergus,Bishop,c. 750,Anglican / Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,Scottish/Pictish missionary bishop; good regional alternate.,source verification; date harmonization with SEC Nov 18 vs Hilda SEC Nov 19,Pending,,
November,11-18,3,Dedication of the Basilicas of Peter and Paul,Church dedication feast,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Ecclesial dedication feast rather than person; likely secondary apparatus.,feast/genre review; Greater Church remembers,Pending,,
November,11-19,1,Elizabeth of Hungary,Princess / worker of mercy,1231,Anglican-received Roman Catholic,BCP; LFF; HWHM; GCW; FAS; AM date variant,BCP / Current TEC / Broad Anglican,Strong candidate with review,"Broad Anglican reception; royal renunciation, Franciscan charity, and care for sick and poor.",ruler/princess-saint review; date variant on Nov 17,Pending,,
November,11-19,2,Nerses I of Armenia,Patriarch,379,Oriental Orthodox / Armenian / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,"Major Armenian patriarch, monastic founder, organizer of church life, and defender of moral discipline.",Armenian source verification; Greater Church remembers,Pending,,
November,11-19,3,Mechthild of Magdeburg,Beguine / mystic,c. 1282,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Important women’s mystical-theological witness; good alternate if November 21 group is split.,date harmonization with November 21 mystics; Greater Church remembers,Pending,,
November,11-19,4,Obadiah,Prophet,,Biblical / Old Testament,AM,Anglican martyrology / biblical commemoration,Review,Biblical prophet but requires whole-year Old Testament strategy.,Old Testament strategy; date/source verification,Pending,,
November,11-20,1,Edmund of East Anglia,King and Martyr,870,Anglican / English,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate with review,Prayer Book/LFF authority and martyrial royal witness; ruler-saint and legendary material require care.,ruler-saint review; legendary material review,Pending,,
November,11-20,2,Priscilla Lydia Sellon,Religious / founder,1876,Anglican,AM,Anglican martyrology,Strong alternate,Key Anglican religious-life revival and works-of-mercy witness; strong project-fit alternate.,source verification; institutional-founder framing,Pending,,
November,11-20,3,Bernward of Hildesheim,Bishop,1002,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,"Monastic-minded bishop, patron of sacred art and pastoral care; lower Anglican priority.",Greater Church remembers; art/patronage framing,Pending,,
November,11-21,1,Mechthilde of Hackeborn and Gertrude the Great,Mystics and Theologians,1298 and 1302,Roman Catholic / Anglican-received,LFF; AM date variant,Current TEC/LFF / Anglican martyrology,Strong candidate,"Current LFF; monastic mystical-theological witness rooted in liturgy, Scripture, and love of Christ.",group entry; date harmonization with AM November 16,Pending,,
November,11-21,2,The Presentation of the Blessed Virgin Mary,Marian feast,,Eastern/Western Great Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,"Important Marian devotional feast with Eastern roots, but not a person-entry and lower than current LFF mystics.",Marian-title/feast review; Greater Church remembers,Pending,,
November,11-21,3,"William Byrd, John Merbecke, and Thomas Tallis",Musicians,"1623, 1585, 1585",Anglican / English,HWHM; GCW,TEC secondary,Review,Older TEC secondary musician group with real doxological value; artist/musician holiness framing required.,artist/composer holiness test; group entry,Pending,,
November,11-21,4,Paulinus of Wales,Abbot,6th century,Anglican / Welsh,AM; Oxford Dictionary of Saints,Anglican martyrology / Welsh witness,Usable,Welsh monastic teacher associated with David; lower source priority than current LFF mystics.,source verification,Pending,,
November,11-21,5,Columban / Columbanus,Abbot and missionary,615,Irish / Greater Church,SEC; AM; Oxford Dictionary of Saints,Provincial Anglican / Anglican martyrology / Great Church,Strong alternate,Irish monastic missionary with major European influence; date appears in SEC 2026 on Nov 21.,Greater Church remembers; source/date verification,Pending,,
November,11-22,1,Clive Staples Lewis,Apologist and Spiritual Writer,1963,Anglican,BCP; LFF; HWHM; GCW; AM,BCP / Current TEC / TEC secondary,Strong candidate with review,High Anglican source authority and strong imaginative/apologetic Christian formation; must be framed as discipleship rather than literary fame.,writer/apologist holiness test; modern review,Pending,,
November,11-22,2,Cecilia of Rome,Martyr,c. 230,Roman Catholic / Anglican-received,HWHM; GCW; AM; SEC transfer to Nov 25,TEC secondary / Anglican martyrology / Great Church,Strong alternate,Ancient martyr and patron of musicians; strong alternate if C.S. Lewis is deferred.,legendary material review; artist/music association; date harmonization with SEC transfer Nov 25,Pending,,
November,11-22,3,Philemon,Biblical correspondent of Paul,1st century,Biblical / Great Church,AM,Anglican martyrology / biblical commemoration,Review,Biblical household-church and reconciliation/slavery-text witness; requires biblical-date strategy and careful handling.,biblical-date strategy; slavery-text handling; Greater Church remembers,Pending,,
November,11-23,1,Clement of Rome,Bishop and Martyr,c. 100,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Early Roman episcopal and apostolic-fathers witness; broad Anglican reception and strong ecclesial-unity value.,none,Pending,,
November,11-23,2,Columbanus,Abbot and missionary,615,Irish / Greater Church,AM; SEC on Nov 21,Anglican martyrology / Provincial date variant,Strong alternate,Major Irish monastic missionary and writer; strong alternate but date harmonization needed.,date harmonization with November 21; Greater Church remembers,Pending,,
November,11-23,3,Amphilochius of Iconium,Bishop,400,Greater Church / Eastern,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Cappadocian-era bishop and defender of Nicene faith; lower source priority than Clement.,Greater Church remembers,Pending,,
November,11-24,1,"Catherine of Alexandria, Barbara of Nicomedia, and Margaret of Antioch",Martyrs,c. 305,Greater Church / Anglican-received,LFF; AM date variants; Oxford Dictionary of Saints,Current TEC/LFF / Great Church,Strong candidate with review,"Current LFF; powerful women martyr traditions, but legendary material and group form require rigorous handling.",legendary material review; group entry; date harmonization for Catherine with Nov 25 and Margaret with July 20,Pending,,
November,11-24,2,Lucy Menzies,Scholar and Mystic,1954,Anglican / Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,"Episcopalian scholar, translator of spirituality, and prayerful mystic; strong Anglican alternate on a legend-heavy LFF day.",modern review; source verification,Pending,,
November,11-24,3,Andrew Dung-Lac and the Martyrs of Vietnam,Martyrs,19th century,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Major Vietnamese martyrial witness; excellent Great Church supplement.,Greater Church remembers; source/date verification,Pending,,
November,11-24,4,Colman of Cloyne,Bishop,606,Irish / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Irish episcopal witness; lower source priority.,source verification; Greater Church remembers,Pending,,
November,11-25,1,James Otis Sargent Huntington,Monastic and Priest,1935,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,Prayer Book/LFF Anglican priest and monk; strong religious-life revival and pastoral witness.,none,Pending,,
November,11-25,2,Catherine of Alexandria,Martyr,c. 305,Greater Church / Anglican-received,AM; Oxford Dictionary of Saints; LFF group on Nov 24,Anglican martyrology / Great Church date variant,Review / date harmonization,"Traditional Catherine date and powerful martyr tradition, but LFF groups her on Nov 24 and legend is substantial.",date harmonization with November 24; legendary material review; Greater Church remembers,Pending,,
November,11-25,3,Cecilia of Rome,Martyr,c. 230,Roman Catholic / Anglican-received,SEC transfer witness; HWHM/GCW/AM on Nov 22,Provincial Anglican transfer / TEC secondary date elsewhere,Review / date harmonization,SEC 2026 transfer from Nov 22; do not treat as fixed date without harmonization.,SEC transfer artifact; date harmonization with November 22,Pending,,
November,11-25,4,Isaac Watts,Hymnwriter,1748,Dissenting Protestant / Anglican-received,AM; HWHM/GCW on Nov 26,Anglican martyrology / TEC secondary date variant,Review / date harmonization,Strong hymnody witness but AM date differs from HWHM/GCW November 26.,date harmonization with November 26; Protestant/non-Anglican review; hymnwriter holiness framing,Pending,,
November,11-25,5,Moses of Rome,Priest and Martyr,251,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Ancient priestly martyr under Decius; lower source priority.,Greater Church remembers,Pending,,
November,11-26,1,Isaac Watts,Hymnwriter,1748,Dissenting Protestant / Anglican-received,HWHM; GCW; AM date variant,TEC secondary / Anglican martyrology date variant,Review,"Major hymnwriter whose songs form Anglican prayer, but non-Anglican and possible theological complexity require care.",Protestant/non-Anglican review; hymnwriter holiness test; date harmonization with November 25,Pending,,
November,11-26,2,Sojourner Truth,Preacher and abolitionist,1883,Christian public witness / Anglican-received,AM; older BCP/HWHM/GCW July 20 group,Anglican martyrology / older TEC group date variant,Strong alternate with review,"Separate holiness case as preacher, biblical witness, and deliverance testimony; should not be swallowed by social-reformer group.",social-impact caution; date harmonization with July 20 older group; Tubman/Truth group-form review,Pending,,
November,11-26,3,Peter of Alexandria,Bishop and Martyr,311,Coptic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Alexandrian episcopal martyr and anti-Arian/Nicene-era witness; excellent Great Church option.,Greater Church remembers; Coptic source verification,Pending,,
November,11-26,4,Silvester Gozzolini,Monastic founder,1267,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Eremitic and Benedictine reform witness; lower source priority.,Greater Church remembers,Pending,,
November,11-26,5,Leonard of Port Maurice,Franciscan preacher,1751,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Preacher and devotional promoter; lower source priority.,Greater Church remembers; devotional-practice framing,Pending,,
