month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
September,09-05,1,Katharina Zell,Church Reformer and Writer,1562,Protestant / Anglican-received,LFF,Current TEC/LFF,Review,"Current LFF authority; pastoral defense of refugees, clergy marriage, and evangelical witness may support holiness, but Protestant-reformer caution applies.",Protestant-reformer caution; holiness test,Pending,,
September,09-05,2,Teresa of Calcutta,Religious founder and worker of mercy,1997,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Strong modern mercy-and-poverty witness; modern complexity and public-saint status require honest handling.,modern review; Greater Church remembers; hagiographic-honesty review,Pending,,
September,09-05,3,Gregorio Aglipay,Priest and Founder of the Philippine Independent Church,1940,Philippine Independent Church / Anglican-received,HWHM; GCW,TEC secondary,Review,Ecclesial independence and postcolonial Christian witness; needs careful treatment as ecclesial founder rather than merely nationalist figure.,postcolonial/ecclesial complexity; group/source review,Pending,,
September,09-05,4,Bertin,Abbot,c. 698,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Monastic missionary abbot; good fallback if modern/reformer entries are deferred.,Greater Church remembers; source verification,Pending,,
September,09-06,1,Hannah More,Religious Writer and Philanthropist,1833,Anglican-received,LFF,Current TEC/LFF,Review,"Current LFF authority; devotional writing and moral education may support holiness, but philanthropy/reform significance must not be decisive.",social-impact caution; writer/philanthropist holiness framing,Pending,,
September,09-06,2,Allen Gardiner,Missionary,1851,Anglican,AM,Anglican martyrology,Strong alternate,Anglican missionary and founder connected to South American mission; costly mission witness though colonial/mission framing must be honest.,mission/colonial context review; source verification,Pending,,
September,09-06,3,Zechariah,Prophet,,Biblical / Old Testament,AM,Anglican martyrology / biblical commemoration,Usable,Biblical prophet with strong scriptural witness; requires whole-year Old Testament strategy.,Old Testament strategy; date/source verification,Pending,,
September,09-06,4,Allen Crite,Artist,2007,Anglican-received,GCW appendix,GCW appendix,Review,Appendix artist entry; should not outrank stronger LFF/missionary candidates absent a doxological holiness case.,appendix status; artist holiness test,Pending,,
September,09-07,1,Kassiani,Poet and Hymnographer,865,Byzantine / Anglican-received,LFF,Current TEC/LFF,Strong candidate,Current LFF; monastic hymnographic and liturgical-theological witness with strong Eastern resonance.,source verification; Greater Church/Anglican-received labeling,Pending,,
September,09-07,2,Élie Naud,Huguenot Witness to the Faith,1722,Reformed / Anglican-received,LFF bracketed; HWHM; GCW,Current TEC bracketed / TEC secondary,Review,"Strong prison-ministry and persecuted-Christian witness, but bracketed/current status and non-Anglican Reformed identity require caution.",bracketed LFF status; Protestant/non-Anglican review,Pending,,
September,09-07,3,Cloud,Hermit / monastic,c. 560,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Royal renunciation and hermit witness; good Great Church fallback.,Greater Church remembers; source verification,Pending,,
September,09-07,4,John of Lodi,Hermit and Bishop,1106,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Camaldolese hermit and bishop; lower source priority than Kassiani or Naud.,Greater Church remembers,Pending,,
September,09-08,1,The Nativity of the Blessed Virgin Mary,Marian feast,,Anglican-received Great Church,LFF; FAS; SEC; AM,Current TEC/LFF / Provincial Anglican / Great Church,Strong candidate,Major Marian feast in current LFF and Anglican provincial sources; broad Great Church reception.,Marian title/doctrine handling,Pending,,
September,09-08,2,Isaac the Great,Bishop of the Armenians,438,Oriental Orthodox / Armenian / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Major Armenian episcopal and cultural/theological witness; valuable Great Five supplement but cannot displace the Marian feast.,Greater Church remembers; Armenian source verification,Pending,,
September,09-08,3,Nikolai Grundtvig,Bishop and Hymnwriter,1872,Lutheran / Anglican-received,HWHM; GCW,TEC secondary,Review,Strong hymnographic and ecclesial-renewal witness but date conflicts with September 2 AM and Marian feast priority.,date harmonization; Protestant/non-Anglican review,Pending,,
September,09-08,4,Søren Kierkegaard,Teacher and Philosopher,1855,Lutheran / Anglican-received,HWHM; GCW,TEC secondary,Review,"Major Christian thinker, but intellectual significance must be subordinated to discipleship and holiness.",intellectual-significance caution; Protestant/non-Anglican review,Pending,,
September,09-08,5,Frederick Ozanam,Lay founder / servant of the poor,1853,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Lay charity and Society of St. Vincent de Paul witness; lower priority under Marian feast.,Greater Church remembers,Pending,,
September,09-09,1,"Constance, Thecla, Ruth, Frances, Charles Parsons, and Louis Schuyler",Martyrs of Memphis,1878,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,Anglican martyrial/mercy witness during yellow fever; strong source authority and holiness fit.,group entry; martyr/worker-of-mercy framing,Pending,,
September,09-09,2,Ciaran of Clonmacnoise,Abbot / monastic founder,545,Anglican / Irish,AM,Anglican martyrology,Strong alternate,Major Irish monastic founder and center of prayer/study; good Anglican-family alternate.,source verification,Pending,,
September,09-09,3,Peter Claver,Priest and minister to enslaved Africans,1654,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Strong works-of-mercy and anti-slavery pastoral witness; Great Church alternate below BCP/LFF Memphis martyrs.,Greater Church remembers; colonial/slavery context,Pending,,
September,09-09,4,Charles Fuge Lowder,Priest,1880,Anglican,AM,Anglican martyrology,Strong alternate,Anglo-Catholic slum-priest and pastoral holiness candidate; lower source authority than Memphis martyrs.,source verification; Anglo-Catholic vocational witness,Pending,,
September,09-10,1,Alexander Crummell,Priest,1898,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate with review,BCP/LFF Anglican priestly witness against racism and for Black intellectual/ecclesial formation; holiness framing must not collapse into significance alone.,race/social-impact caution; priestly holiness framing,Pending,,
September,09-10,2,Edmund James Peck,Priest and Missionary to the Inuit,1924,Anglican / Canadian,FAS,Provincial Anglican,Strong alternate,Official Canadian Anglican missionary and translation witness; requires honest mission/colonial framing.,mission/colonial context review,Pending,,
September,09-10,3,William Salesbury and William Morgan,Scripture translators / bishop,1584 and 1604,Anglican / Welsh,AM,Anglican martyrology,Usable,Welsh Scripture and Prayer Book translation witness; strong language-and-formation candidate.,source verification; translation/literary holiness framing,Pending,,
September,09-10,4,Ambrose Barlow,Priest and Martyr,1641,Roman Catholic / Anglican-context contested,AM,Anglican martyrology / Great Church,Review,English Roman Catholic martyrial witness; Reformation-context handling required in an Anglican Synaxarium.,Reformation conflict; Greater Church remembers,Pending,,
September,09-10,5,Mordecai Johnson,Educator,1976,Anglican-received,GCW appendix,GCW appendix,Review,Appendix educator entry; likely too significance-based unless a strong devotional holiness rationale emerges.,appendix status; social-impact caution,Pending,,
September,09-11,1,Deiniol,Bishop / monastic founder,traditionally 6th century,Anglican / Welsh,AM,Anglican martyrology,Strong candidate,Founder associated with Bangor and Welsh episcopal/monastic witness; strongest hagiographical candidate on a thin Anglican day.,source/date verification,Pending,,
September,09-11,2,Harry Thacker Burleigh,Composer,1949,Anglican-received,HWHM; GCW,TEC secondary,Review,Important sacred-music and spirituals witness; must be framed doxologically rather than as cultural preservation alone.,artist/composer holiness test; social-impact caution,Pending,,
September,09-11,3,Paphnutius,Bishop / confessor,4th century,Greater Church / Egyptian,AM,Anglican martyrology / Great Church,Usable,Egyptian episcopal and Athanasian/Nicene witness; useful Great Church supplement.,Greater Church remembers; source verification,Pending,,
September,09-11,4,Protus and Hyacinth,Martyrs,,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Ancient martyr names but thin narrative in current source set.,source verification; Greater Church remembers,Pending,,
September,09-12,1,John Henry Hobart,Bishop of New York,1830,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,BCP/LFF Anglican bishop; automatic inclusion rule applies and source authority is strong.,Anglican bishop rule,Pending,,
September,09-12,2,Ailbhe,Bishop and missionary,c. 526,Anglican / Irish,AM,Anglican martyrology,Strong alternate,Early Irish episcopal and missionary witness; good Anglican-family alternate.,legendary material review; source verification,Pending,,
September,09-12,3,Japanese Martyrs of Omura,Martyrs,1622,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong martyrial witness but lower source hierarchy than Hobart.,Greater Church remembers,Pending,,
September,09-13,1,Cyprian of Carthage,Bishop and Martyr,258,Anglican-received Great Church,BCP; LFF; FAS; AM,BCP / Current TEC / Provincial Anglican / Great Church,Strong candidate,BCP/LFF and FAS authority; episcopal martyr and ecclesial-unity witness.,none,Pending,,
September,09-13,2,John Chrysostom,Bishop of Constantinople and Teacher of the Faith,407,Eastern Orthodox / Anglican-received Great Church,HWHM; GCW; AM,TEC secondary / Anglican martyrology / Great Church,Strong alternate,"Major Eastern father, preacher, ascetic bishop, and reformer; strong alternate, but current TEC/BCP place Cyprian here.",date harmonization; Greater Church remembers,Pending,,
September,09-13,3,Maurilius of Angers,Bishop,453,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Episcopal candidate but thin and outranked by Cyprian and Chrysostom.,source verification; Greater Church remembers,Pending,,
September,09-14,1,Holy Cross Day,Feast of Our Lord / Cross feast,,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major Prayer Book feast and Great Church feast; uncontested primary candidate.,none,Pending,,
September,09-14,2,Albert of Jerusalem,Bishop and martyr / Carmelite rule-giver,1214,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,"Strong episcopal, peace-making, and Carmelite-rule witness but cannot displace Holy Cross Day.",defer under major feast; Greater Church remembers; date harmonization with September 17,Pending,,Crosswise QC added explicit harmonization with Sep 17 duplicate.
September,09-14,3,Peter of Tarentaise,Bishop,12th century,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Weak / defer,Good episcopal reform witness but lower priority under Holy Cross Day.,defer under major feast; Greater Church remembers,Pending,,
September,09-15,1,Catherine of Genoa,Mystic and Nurse,1510,Roman Catholic / Anglican-received,LFF; AM,Current TEC/LFF / Great Church,Strong candidate with review,Current LFF; strong mystic and works-of-mercy witness in hospital service.,Greater Church remembers; mystic/nurse framing,Pending,,
September,09-15,2,James Chisholm,Priest,1855,Anglican,HWHM; GCW,TEC secondary,Strong alternate,Anglican priestly mercy witness during yellow fever; strong holiness fit and possible alternate if Catherine is deferred.,worker-of-mercy framing,Pending,,
September,09-15,3,Cyprian of Carthage,Bishop and Martyr,258,Anglican-received Great Church,HWHM; GCW; SEC transferred,TEC secondary / year-specific SEC transfer,Review / date harmonization,"HWHM/GCW place Cyprian here, but BCP/LFF/FAS place him September 13; hold for whole-year date harmonization.",date harmonization; SEC transfer artifact,Pending,,
September,09-15,4,Our Lady of Sorrows,Marian devotional feast,,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Devotionally powerful Marian observance but needs Anglican placement discipline and should not displace LFF without reason.,Marian-title feast review; Greater Church remembers,Pending,,
September,09-15,5,Dora P. Chaplin,Theologian,1990,Anglican-received,GCW appendix,GCW appendix,Review,Appendix theologian entry; lower source authority and requires holiness/prayability rationale.,appendix status; theologian significance caution,Pending,,
September,09-16,1,Ninian,Bishop in Galloway,c. 430,Anglican / Scottish,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican source authority; early missionary bishop in Britain/Scotland.,legendary/historical uncertainty review,Pending,,
September,09-16,2,Cornelius,Bishop of Rome and Martyr,253,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Early episcopal martyr and reconciliation witness; lower Anglican priority than Ninian.,Greater Church remembers,Pending,,
September,09-16,3,Ludmila of Bohemia,Martyr,921,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Grandmotherly catechesis and martyrdom; useful Great Church alternate.,Greater Church remembers; ruler-family context,Pending,,
September,09-16,4,Edward Bouverie Pusey,Priest,1882,Anglican,AM; BCP/LFF on Sep 18,Anglican martyrology / BCP date elsewhere,Review / date harmonization,"AM has Pusey here, but BCP/LFF place him September 18; retain for harmonization only.",date harmonization,Pending,,
September,09-17,1,Hildegard of Bingen,Mystic and Scholar,1179,Anglican-received Great Church,BCP; LFF; HWHM; GCW; SEC; AM,BCP / Current TEC / TEC secondary / Provincial Anglican,Strong candidate,"Broad Anglican reception; monastic, visionary, musical, theological, and pastoral witness.",none,Pending,,
September,09-17,2,Lambert of Maastricht,Bishop and Martyr,c. 705,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Episcopal missionary and martyrial witness; lower source hierarchy than Hildegard.,Greater Church remembers,Pending,,
September,09-17,3,Albert of Jerusalem,Bishop and martyr / Carmelite rule-giver,1214,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,"Strong Carmelite and episcopal witness, but AM also places him under Holy Cross context; lower than Hildegard.",date harmonization; Greater Church remembers,Pending,,
September,09-17,4,Robert Bellarmine,Bishop and Doctor,1621,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Major Catholic theologian; Galileo/controversialist context requires honest treatment and lower priority than Hildegard.,Greater Church remembers; theological controversy,Pending,,
September,09-18,1,Edward Bouverie Pusey,Priest,1882,Anglican,BCP; LFF; HWHM; GCW; AM date variant,BCP / Current TEC / TEC secondary,Strong candidate,BCP/LFF Anglican priest and Oxford Movement leader; strong spiritual-theological and religious-life revival witness.,date variant in AM; Anglo-Catholic framing,Pending,,
September,09-18,2,Dag Hammarskjöld,Diplomat and contemplative public servant,1961,Anglican-received / public moral witness,GCW; AM,TEC secondary / Anglican martyrology,Review,"Deep contemplative-action witness, but public office and humanitarian significance require strict holiness/prayability framing.",public moral figure; social-impact caution,Pending,,
September,09-18,3,"Founders, Benefactors, and Missionaries of the Anglican Church of Canada",Ecclesial group commemoration,1893 reference,Anglican / Canadian,FAS,Provincial Anglican,Review,Official Canadian Anglican observance but group/event form needs genre review for Kalendar primary use.,group entry; ecclesial-event genre review,Pending,,
September,09-18,4,Joseph of Cupertino,Friar / mystic,1603,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Franciscan humility and mystical phenomena; lower Anglican priority than Pusey.,Greater Church remembers; miracle/mystic handling,Pending,,
September,09-19,1,Theodore of Tarsus,Archbishop of Canterbury,690,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate,BCP/LFF and broad Anglican authority; Archbishop of Canterbury who ordered and unified the English Church.,none,Pending,,
September,09-19,2,Januarius,Bishop and Martyr,c. 305,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Ancient episcopal martyr and strong local devotion; lower Anglican priority than Theodore.,Greater Church remembers; miracle/relic tradition handling,Pending,,
September,09-19,3,Alphonsus de Orozco,Friar and spiritual writer,1591,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Weak / defer,Devotional/mystical writer but lower priority than Theodore or Januarius.,Greater Church remembers,Pending,,
September,09-20,1,John Coleridge Patteson and his Companions,Bishop of Melanesia and Martyrs,1871,Anglican,BCP; LFF; HWHM; GCW; FAS; SEC transfer witness; AM,BCP / Current TEC / Broad Anglican,Strong candidate,BCP/LFF Anglican bishop-martyr with companions; strong missionary and martyrial witness.,mission/colonial context honesty; SEC year-specific transfer noted,Pending,,Crosswise QC revised SEC wording from fixed-date witness to transfer witness.
September,09-20,2,"Andrew Kim Taegon, Paul Chong Hasang, and the Martyrs of Korea",Martyrs,1839-1867,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Major Korean martyrial witness; excellent Great Church option but lower Anglican priority than Patteson.,Greater Church remembers,Pending,,
September,09-20,3,Methodius of Olympus,Bishop and Martyr,311,Greater Church / Eastern,AM,Anglican martyrology / Great Church,Usable,Early bishop-theologian and martyr; strong but lower priority on Anglican martyr day.,Greater Church remembers,Pending,,
September,09-20,4,"Saints, Martyrs, and Missionaries of Australasia and the Pacific",Regional group commemoration,,Anglican / Pacific / Great Church,AM,Anglican martyrology,Review,Broad regional witness category; probably secondary apparatus rather than one primary day unless later governed as a group.,group entry; regional/ecclesial category,Pending,,
September,09-21,1,Saint Matthew,Apostle and Evangelist,1st century,Apostolic / Anglican-received,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Uncontested major apostolic and evangelist feast.,none,Pending,,
September,09-21,2,Jonah,Prophet,,Biblical / Old Testament,AM,Anglican martyrology / biblical commemoration,Weak / defer,"Biblical prophet, but cannot displace apostolic feast and requires Old Testament strategy.",defer under apostle; Old Testament strategy,Pending,,
September,09-21,3,Cadoc,Welsh saint,c. 575,Anglican / Welsh,AM,Anglican martyrology,Weak / defer,Important Welsh saint but cannot displace Saint Matthew.,defer under apostle,Pending,,
September,09-21,4,Henri Nouwen,Priest and spiritual writer,1996,Roman Catholic / Anglican-received,AM,Anglican martyrology / Great Church,Review,Modern spiritual writer with strong pastoral/devotional influence but cannot displace Saint Matthew; requires modern review.,modern review; Greater Church remembers,Pending,,
September,09-22,1,Philander Chase,Bishop of Ohio and Illinois,1852,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate,"BCP/LFF Anglican bishop; automatic inclusion rule applies, with missionary/frontier church-planting witness.",Anglican bishop rule; frontier/colonial context review,Pending,,
September,09-22,2,Maurice and the Theban Legion,Martyrs,c. 287,Greater Church / Western,AM,Anglican martyrology / Great Church,Strong alternate,Classic martyrial witness of military refusal/idolatry resistance; strong Great Church alternate.,Greater Church remembers; legendary/historical review,Pending,,
September,09-22,3,Emmeram,Bishop and Missionary,7th century,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Missionary bishop witness; lower priority than Chase or Maurice.,Greater Church remembers,Pending,,
September,09-22,4,Felix IV,Bishop of Rome,530,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Weak / defer,Pastoral administrator and care-for-poor witness but lower source/holiness priority here.,Greater Church remembers,Pending,,
September,09-23,1,Thecla of Iconium,Proto-Martyr Among Women,c. 70,Anglican-received Great Church,LFF; GCW,Current TEC/LFF / TEC secondary,Strong candidate with review,Current LFF; ancient female apostolic/evangelistic witness with broad early devotion.,legendary Acts of Paul and Thecla handling,Pending,,
September,09-23,2,Adomnán of Iona,Abbot,704,Anglican / Scottish-Irish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,"Major Iona abbot, Life of Columba, and reforming law-code witness; very strong Anglican-family alternate.",source/date verification,Pending,,
September,09-23,3,Linus,Bishop of Rome,1st century,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Early Roman episcopal tradition; lower source priority and thinner narrative than Thecla or Adomnán.,Greater Church remembers; source verification,Pending,,
September,09-23,4,Pius of Pietrelcina (Padre Pio),Capuchin priest,1968,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Review,Modern Catholic mystic with broad devotion and controversy; not primary unless specifically desired as Great Church supplement.,modern review; miracle/stigmata controversy; Greater Church remembers,Pending,,
September,09-24,1,Anna Ellison Butler Alexander,Deaconess and Teacher,1947,Anglican,LFF; GCW,Current TEC/LFF / TEC secondary,Strong candidate with review,"Current LFF; Anglican deaconess, teacher, and long pastoral service in segregated Georgia.",modern review; race/social-impact context; deaconess-order framing,Pending,,
September,09-24,2,Gerard of Csanád,Bishop and Martyr,1046,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Episcopal missionary and martyrial witness; strong Great Church alternate.,Greater Church remembers,Pending,,
September,09-24,3,Robert of Knaresborough,Hermit / servant of the poor,c. 1218,Anglican / English,AM,Anglican martyrology,Usable,English hermit devoted to prayer and care of the poor; good Anglican-family fallback.,source verification,Pending,,
September,09-24,4,Anton Martin Slomšek,Bishop,1862,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,"Education, missions, and ecumenical understanding; lower source priority than Anna Alexander.",Greater Church remembers,Pending,,
September,09-25,1,Sergius of Radonezh,Monastic,1392,Eastern Orthodox / Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate,"BCP/LFF and broad Anglican reception; monastic prayer, humility, and Russian spiritual formation.",none,Pending,,
September,09-25,2,Finnbar of Caithness,Bishop,c. 610,Anglican / Scottish,SEC; AM,Provincial Anglican / Anglican martyrology,Strong alternate,Scottish episcopal/local holiness candidate; good Anglican-family alternate under SEC.,source verification,Pending,,
September,09-25,3,Ceolfrith,Abbot,716,Anglican / Northumbrian,AM,Anglican martyrology,Strong alternate,Abbot of Wearmouth-Jarrow and Bede’s monastic context; strong Anglican/British monastic witness.,date/source verification,Pending,,
September,09-25,4,Nicholas von Flüe,Hermit and peacemaker,1487,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Strong lay-to-hermit and peace-making witness; Great Church alternate.,Greater Church remembers; family/eremitic vocation review,Pending,,
September,09-25,5,Lancelot Andrewes,Bishop of Winchester,1626,Anglican,AM; BCP/LFF on Sep 26,Anglican martyrology / BCP date elsewhere,Review / date harmonization,"AM mentions Andrewes here but BCP/LFF use September 26; hold for date harmonization.",date harmonization,Pending,,
September,09-26,1,Lancelot Andrewes,Bishop of Winchester,1626,Anglican,BCP; LFF; HWHM; GCW; FAS; AM date variant,BCP / Current TEC / Broad Anglican,Strong candidate,BCP/LFF Anglican bishop and spiritual writer; automatic inclusion rule and strong devotional/liturgical-theological fit.,Anglican bishop rule; date variant in AM,Pending,,
September,09-26,2,Wilson Carlile,Priest,1942,Anglican,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Strong alternate,Anglican priest and Church Army founder; strong evangelistic and working-class mission witness.,modern/social mission framing,Pending,,
September,09-26,3,Cosmas and Damian,Martyrs / unmercenary physicians,3rd century,Greater Church / Eastern-Western,AM,Anglican martyrology / Great Church,Strong alternate,Ancient healer-saints and martyrial/unmercenary tradition; good Great Church supplement.,legendary material review; Greater Church remembers,Pending,,
September,09-26,4,Nilus of Rossano,Monastic founder,1004,Byzantine / Italo-Greek / Greater Church,AM,Anglican martyrology / Great Church,Usable,Byzantine monastic witness in southern Italy and Grottaferrata; lower priority than Andrewes.,Greater Church remembers,Pending,,
September,09-26,5,Colmán Elo,Monastic founder,611,Anglican / Irish,AM,Anglican martyrology,Usable,Irish monastic candidate; lower source priority than Andrewes and Carlile.,source verification,Pending,,
September,09-27,1,Euphrosyne/Smaragdus of Alexandria,Monastic,5th century,Greater Church / Anglican-received,LFF,Current TEC/LFF,Strong candidate with review,"Current LFF; ascetical monastic witness and gender-disguised monastic tradition requires careful, non-anachronistic handling.",gender/naming/historical handling; Greater Church remembers,Pending,,
September,09-27,2,Thomas Traherne,Priest and mystical writer,1674,Anglican,HWHM; GCW,TEC secondary,Strong alternate,"Anglican priest and mystical theologian; strong fit for theosis, contemplation, and creation-charged devotion.",date/source hierarchy,Pending,,
September,09-27,3,Vincent de Paul,Priest and worker of mercy,1660,Roman Catholic / Greater Church,HWHM; GCW; AM; SEC transfer witness,TEC secondary / Anglican martyrology / Great Church,Strong alternate,Major charity and clergy-renewal witness; strong Great Church option but lower than current LFF candidate.,Greater Church remembers; SEC year-specific transfer noted,Pending,,Crosswise QC revised SEC wording from fixed-date witness to transfer witness.
