"month","date","rank","candidate","designation","year_or_period","tradition","source_witnesses","source_tier","preliminary_status","ranking_rationale","review_flags","decision_status","final_primary","notes"
"February","02-14","2","Valentine of Rome / Valentine traditions","Martyr","3rd century","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review","Ancient martyr traditions are heavily conflated and later cultural reception dominates; lower priority than Cyril and Methodius.","legendary/source confusion; Greater Church remembers","Pending","",""
"February","02-15","1","Thomas Bray","Priest and Missionary","1730","Anglican","BCP; LFF; HWHM; GCW; FAS; SEC transfer; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Prayer Book/LFF Anglican priest, missionary, and founder of SPG/SPCK; strong church-service witness.","SEC 2026 transfer artifact","Pending","","SEC 2026 transfers Thomas Bray to Feb 16 because Feb 15 is Sunday."
"February","02-15","2","Sigfrid of Sweden","Missionary bishop / apostle of Sweden","c. 1045","Anglican-received / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Missionary bishop and Swedish apostolic witness; good alternate if Bray is redistributed.","Greater Church remembers; source verification","Pending","",""
"February","02-15","3","Claude de la Colombière","Jesuit priest and spiritual director","1682","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review","Sacred Heart devotional context requires private-revelation discipline.","private-revelation handling; Greater Church remembers","Pending","",""
"February","02-16","1","Charles Todd Quintard","Bishop of Tennessee","1898","Anglican","HWHM; GCW","TEC secondary","Strong candidate","Anglican bishop on TEC secondary calendars; Anglican-bishop rule supports inclusion on a blank current-LFF day.","Anglican bishop rule; Civil War/context review","Pending","",""
"February","02-16","2","Thomas Bray","Priest and Missionary","1730","Anglican","SEC transfer from Feb 15; BCP/LFF Feb 15","Provincial Anglican transfer / Current TEC date elsewhere","Review / date harmonization","SEC 2026 transferred Thomas Bray from Feb 15; fixed BCP/LFF date remains Feb 15.","SEC transfer artifact; date harmonization with Feb 15","Pending","",""
"February","02-16","3","Onesimus","Companion of Paul / biblical figure","1st century","Biblical / Great Church","AM; Oxford Dictionary of Saints","Anglican martyrology / biblical commemoration","Review","Biblical figure from Philemon; requires careful handling of slavery and source tradition.","biblical-date strategy; slavery-text handling; Greater Church remembers","Pending","",""
"February","02-16","4","Elias and Companions","Martyrs","310","Greater Church / Egyptian-Palestinian","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Egyptian Christians martyred in Palestine; lower source priority.","Greater Church remembers; source verification","Pending","",""
"February","02-17","1","Janani Luwum","Archbishop and Martyr","1977","Anglican","BCP; LFF; HWHM; GCW","BCP / Current TEC / TEC secondary","Strong candidate","Prayer Book/LFF Anglican archbishop and martyr; Anglican-bishop rule and martyrial witness strongly support inclusion.","Anglican bishop rule; modern martyr review","Pending","",""
"February","02-17","2","Finan of Lindisfarne","Bishop","661","Anglican / Northumbrian","SEC; AM; Oxford Dictionary of Saints","Provincial Anglican / Anglican martyrology","Strong alternate","Successor of Aidan at Lindisfarne and strong Northumbrian ecclesial witness; good alternate.","source verification; Synod of Whitby context","Pending","",""
"February","02-17","3","The Seven Founders of the Servite Order","Religious founders","13th century","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Group religious-founder witness; lower priority than Luwum.","group entry; Greater Church remembers","Pending","",""
"February","02-18","1","Colman of Lindisfarne","Bishop","676","Anglican / Northumbrian-Irish","AM; SEC transfer to Feb 20","Anglican martyrology / Provincial Anglican transfer","Strong candidate with review","Bishop of Lindisfarne and Synod of Whitby witness; strongest Anglican-family candidate after the governed removal of the Protestant-reformer row.","date harmonization with SEC Feb 20; source verification; governed replacement","Pending","","Former Protestant-reformer row is governed out and not retained as candidate or alternate."
"February","02-18","2","Tarasius of Constantinople","Patriarch","806","Eastern Orthodox / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Iconophile patriarch and Second Nicaea context; strong Great Church alternate.","Greater Church remembers; iconoclasm context","Pending","",""
"February","02-19","1","Agnes Tsao Kou Ying, Agatha Lin Zhao, and Lucy Yi Zhenmei","Catechists and Martyrs","1856, 1858, and 1862","Roman Catholic / Anglican-received","LFF; January AM date variant for Agnes Tsao Kou Ying","Current TEC/LFF / Anglican martyrology date variant","Strong candidate","Current LFF Chinese women catechist-martyrs; strong martyrial witness and current source authority.","group entry; date harmonization with Jan 28 Agnes Tsao Kou Ying; Greater Church remembers","Pending","",""
"February","02-19","2","Quodvultdeus of Carthage","Bishop","439","Greater Church / North African","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","North African bishop exiled by Vandals; good Great Church alternate but lower source priority.","Greater Church remembers; source verification","Pending","",""
"February","02-19","3","Thomas Burgess","Bishop of St Davids and Salisbury","1837","Anglican / Welsh-English","AM","Anglican martyrology","Usable","Anglican bishop and clergy-education reformer; possible Anglican-family alternate.","Anglican bishop rule; source verification","Pending","",""
"February","02-20","1","Frederick Douglass","Social Reformer","1895","Anglican-received","LFF; HWHM; GCW","Current TEC/LFF / TEC secondary","Review","Current LFF authority, but social-impact caution is central; holiness and Christian witness must govern any inclusion.","social-impact caution; modern/public moral figure review","Pending","",""
"February","02-20","2","Colman of Lindisfarne","Bishop","676","Anglican / Northumbrian-Irish","SEC transfer from Feb 18; AM Feb 18","Provincial Anglican transfer / Anglican martyrology","Review / date harmonization","SEC 2026 transferred Colman from Feb 18; do not treat Feb 20 as fixed date.","SEC transfer artifact; date harmonization with Feb 18","Pending","",""
"February","02-20","3","Eucherius of Orléans","Bishop","743","Greater Church / Western","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Bishop exiled for resisting secular confiscation of church property; strong Great Church alternate.","Greater Church remembers; political-conflict context","Pending","",""
"February","02-20","4","Wulfric of Haselbury","Priest and anchorite","1154","Anglican / English","AM; Oxford Dictionary of Saints","Anglican martyrology / English calendar witness","Strong alternate","English parish priest turned anchorite; strong hagiographical and prayer-centered fallback.","source verification","Pending","",""
"February","02-21","1","John Henry Newman","Priest and Theologian","1890","Anglican-received Roman Catholic","HWHM; GCW","TEC secondary","Review","Profound theological and spiritual witness with Anglican formation and later Roman Catholic reception; must be framed by holiness not intellectual influence.","intellectual-significance caution; Anglican/Roman transition context","Pending","",""
"February","02-21","2","Peter Damian","Monk, Bishop, and Theologian","1072","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","Monastic reformer, contemplative, and bishop-theologian; strong Great Church alternate on a blank current-LFF day.","Greater Church remembers; reform-polemics handling","Pending","",""
"February","02-21","3","Robert Southwell","Priest, poet, and martyr","1595","Roman Catholic / Anglican-context contested","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review","English Roman Catholic martyr and devotional poet; Reformation-context handling required.","Reformation conflict; poet holiness framing; Greater Church remembers","Pending","",""
"February","02-22","1","Margaret of Cortona","Penitent and monastic tertiary","1297","Roman Catholic / Anglican-received","LFF; AM; Oxford Dictionary of Saints","Current TEC/LFF / Anglican martyrology / Great Church","Strong candidate","Current LFF; penitential conversion and service to poor provide strong holiness fit.","Greater Church remembers; hagiographic-honesty review","Pending","",""
"February","02-22","2","Eric Liddell","Missionary to China","1945","Anglican-received / Scottish Congregational","HWHM; GCW","TEC secondary","Review","Missionary and costly obedience witness; must be framed beyond athletic fame.","modern review; Protestant/non-Anglican review; celebrity/significance caution","Pending","",""
"February","02-22","3","Chair of Saint Peter","Feast / Petrine observance","","Roman Catholic / Greater Church","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review","Ecclesial feast of Petrine office; not a personal saint entry and needs Anglican ecclesial handling.","feast/genre review; papal context; Greater Church remembers","Pending","",""
"February","02-22","4","Papias of Hierapolis","Bishop and apostolic father","2nd century","Greater Church / Eastern","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Early bishop connected with apostolic tradition; lower source priority.","Greater Church remembers; source-fragment handling","Pending","",""
"February","02-23","1","Polycarp of Smyrna","Bishop and Martyr","156","Anglican-received Great Church","BCP; LFF; HWHM; GCW; FAS; SEC; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Major apostolic father and martyr with broad Anglican and Great Church reception.","none","Pending","",""
"February","02-23","2","Mildburga","Abbess","715","Anglican / English","AM; Oxford Dictionary of Saints","Anglican martyrology / English calendar witness","Usable","English abbess and monastic witness; lower priority than Polycarp.","source verification","Pending","",""
"February","02-24","1","Matthias the Apostle","Apostle","1st century","Apostolic / Anglican-received","BCP; LFF; HWHM; GCW; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Uncontested apostolic feast with Prayer Book/LFF authority.","none","Pending","",""
"February","02-24","2","Philip Lindel Tsen and Paul Shinji Sasaki","Bishops","1954 and 1946","Anglican / Chinese-Japanese","FAS; October matrix HWHM/GCW on Oct 31","Provincial Anglican / TEC secondary date elsewhere","Review / date harmonization","Strong Anglican bishop pair but already appears in October matrix; cannot displace Matthias.","Anglican bishop rule; date harmonization with Oct 31; defer under apostle","Pending","",""
"February","02-24","3","Æthelberht of Kent","King and convert","616","Anglican / English","AM; Oxford Dictionary of Saints","Anglican martyrology / English calendar witness","Review","Early English royal convert but ruler-saint and Christianization politics require care.","ruler-saint review; defer under apostle","Pending","",""
"February","02-25","1","Emily Malbone Morgan","Lay Leader and Contemplative","1937","Anglican","LFF; HWHM/GCW on Feb 26","Current TEC/LFF / TEC secondary date variant","Strong candidate with review","Current LFF; lay contemplative and retreat/companionship ministry witness.","modern review; institutional-founder framing; date harmonization with Feb 26 HWHM/GCW","Pending","",""
"February","02-25","2","John Roberts","Priest","1949","Anglican / Welsh","HWHM; GCW","TEC secondary","Review","Anglican priestly witness but source support is secondary and needs verification.","source verification; date harmonization if needed","Pending","",""
"February","02-25","3","Walburga","Abbess and missionary","779","Anglican-received / English-German","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Strong alternate","English missionary abbess in Germany and strong women’s monastic witness.","Greater Church remembers; source verification","Pending","",""
"February","02-26","1","Photini, the Samaritan Woman","Biblical evangelist","c. 67","Biblical / Anglican-received Great Church","LFF; AM","Current TEC/LFF / Anglican martyrology","Strong candidate","Current LFF and biblical witness to encounter, conversion, and evangelistic proclamation.","biblical-date strategy; Greater Church remembers","Pending","",""
"February","02-26","2","Emily Malbone Morgan","Lay Leader and Contemplative","1937","Anglican","HWHM; GCW; LFF on Feb 25","TEC secondary / current LFF date variant","Review / date harmonization","Older TEC secondary date variant; current LFF places Morgan on Feb 25.","date harmonization with Feb 25","Pending","",""
"February","02-26","3","Porphyry of Gaza","Bishop","421","Greater Church / Eastern","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Review","Episcopal and monastic witness, but anti-pagan coercion/destruction traditions require hagiographic honesty.","hagiographic-honesty review; Greater Church remembers","Pending","",""
"February","02-27","1","George Herbert","Priest and Poet","1633","Anglican","BCP; LFF; HWHM; GCW; FAS; AM","BCP / Current TEC / Broad Anglican","Strong candidate","Broad Anglican reception; priestly, poetic, and devotional witness is central to Anglican spirituality.","poet holiness framing","Pending","",""
"February","02-27","2","Julian and Companions of Alexandria","Martyrs","c. 250","Greater Church / Egyptian","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Ancient Alexandrian martyrial witness but lower priority than Herbert.","Greater Church remembers; source verification","Pending","",""
"February","02-28","1","Anna Julia Haywood Cooper","Educator","1964","Anglican-received","BCP bracketed; LFF; HWHM/GCW group with Elizabeth Evelyn Wright","Current TEC/LFF / BCP bracketed / TEC secondary","Review","Current LFF authority but educator/public-intellectual and social-impact framing require holiness test.","modern review; social-impact caution; educator holiness framing","Pending","",""
"February","02-28","2","Anna Julia Haywood Cooper and Elizabeth Evelyn Wright","Educators","1964 and 1904","Anglican-received","HWHM; GCW","TEC secondary","Review","Older TEC secondary group form; requires source-form and holiness-over-significance review.","group entry; social-impact caution; source-form harmonization","Pending","",""
"February","02-28","3","Oswald of Worcester","Bishop","992","Anglican / English","AM; Oxford Dictionary of Saints","Anglican martyrology / English calendar witness","Strong alternate","Benedictine reforming bishop and archbishop of York; strong Anglican-family alternate.","source/date verification; leap-date connection with Feb 29","Pending","",""
"February","02-28","4","Romanus of Condat","Abbot","460","Greater Church / Western monastic","AM; Oxford Dictionary of Saints","Anglican martyrology / Great Church","Usable","Early Jura monastic founder; lower source priority.","Greater Church remembers","Pending","",""
"February","02-29","1","John Cassian","Abbot at Marseilles","433/435","Anglican-received Great Church","HWHM; GCW; LFF on Jul 23; July matrix","TEC secondary / current LFF date elsewhere","Review / date harmonization","Leap-day TEC secondary candidate; current LFF places Cassian on July 23, so this must be harmonized before final placement.","leap-day; date harmonization with July 23; monastic/theosis fit","Pending","",""
"February","02-29","2","Oswald of Worcester","Bishop","992","Anglican / English","AM/Oxford date context; Feb 28 matrix","Anglican martyrology / English calendar witness","Strong alternate","Oswald died on Feb 29 and is often kept Feb 28 in non-leap years; possible native leap-day candidate if Cassian is harmonized to July.","leap-day; date harmonization with Feb 28; source verification","Pending","",""
